,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Radius,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_X,Venue_Y,labels,Cluster Label
0,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,The Dane,47.68695002889187,-122.37653933717229,Beer Bar,-2643134.1822097884,13766787.230906034,0,0
1,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Ristorante Picolinos,47.67546742617405,-122.39849230731859,Italian Restaurant,-2642410.7095114524,13769014.48753354,0,0
2,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Cafe Besalu,47.67197127046342,-122.38775528572725,Bakery,-2643405.0759117426,13768865.906715352,0,0
3,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Rosellini's,47.67952480918485,-122.37472955938681,Bakery,-2643782.3452073876,13767467.77063639,0,0
4,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Mabel Coffee,47.6796498,-122.3879238,Coffee Shop,-2642853.720394617,13768081.182072103,0,0
5,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Biscuit & Bean,47.67184836931982,-122.37631377221527,Coffee Shop,-2644211.5436232844,13768335.435870433,0,0
6,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Sip and Ship,47.66872398217398,-122.38131628905103,Post Office,-2644082.318104365,13768895.503861489,0,0
7,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Mighty-O Donuts,47.668542440559825,-122.37881938983554,Donut Shop,-2644269.2043315694,13768795.70008183,0,0
8,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Cupcake Royale and Verite Coffee,47.66882852714093,-122.38437785628311,Cupcake Shop,-2643861.463385602,13769030.053726949,0,0
9,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Grumpy D's,47.67956170698513,-122.37688978488912,Coffee Shop,-2643629.155595489,13767566.521441339,0,0
10,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Ballard Coffee Works,47.66885345349778,-122.38471629745673,Coffee Shop,-2643836.109240885,13769043.546424188,0,0
11,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Miro Tea,47.66766247145386,-122.38488912634942,Tea Room,-2643907.7556068795,13769174.713340644,0,0
12,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Caffe Umbria,47.66767820784637,-122.38501768533699,Coffee Shop,-2643897.6838671574,13769179.191497682,0,0
13,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Starbucks,47.69064248939866,-122.37622307975559,Coffee Shop,-2642896.6312670964,13766391.088531809,0,0
14,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Mainstay Provisions,47.676078,-122.364349,Café,-2644748.3677847376,13767330.636198696,0,0
15,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,The Other Coast Cafe,47.66674597893921,-122.38372694136072,Sandwich Place,-2644053.2177765206,13769214.165148102,0,0
16,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Preserve and Gather,47.69071313728395,-122.36305079953048,Coffee Shop,-2643809.6087912335,13765758.406073818,0,0
17,Loyal Heights,47.6887088,-122.3929073,2605.105648569951,Portage Bay Cafe & Catering,47.668574253388805,-122.39428793355201,Breakfast Spot,-2643188.1944176573,13769526.685230166,0,0
