,Neighborhood,Latitude,Longitude
0,Loyal Heights,47.6887088,-122.3929073
1,Adams,47.565271,-122.2795457
2,Whittier Heights,47.683297,-122.3714487
3,West Woodland,47.6759733,-122.3474992
4,Sunset Hill,47.6752172,-122.3984484
5,University District,47.6612984,-122.3131523
6,East Queen Anne,47.6394805,-122.3607453
7,West Queen Anne,47.6394805,-122.3607453
8,Lower Queen Anne,47.622338,-122.3557559
9,North Queen Anne,47.6394805,-122.3607453
10,Westlake,47.611817450000004,-122.33618911776973
11,Eastlake,47.6431448,-122.32617211691044
12,South Lake Union,47.6231611,-122.3383816
13,Lawton Park,47.6563294,-122.4002959
14,Briarcliff,47.6481511,-122.40761211983732
15,Southeast Magnolia,47.6468106,-122.399489
16,Madrona,47.6127915,-122.2912264
17,Harrison - Denny-Blaine,47.622512,-122.2906189
18,Minor,47.626594350000005,-122.33226707462674
19,Leschi,47.6005352,-122.2918664
20,Mann,47.60883185,-122.33741928980399
21,Atlantic,47.528788649999996,-122.33060661187038
22,Pike-Market,47.6038321,-122.3300624
23,Belltown,47.6132311,-122.3453607
24,International District,47.6028956,-122.3398408
25,Central Business District,47.6095317,-122.3362895
26,First Hill,47.6093053,-122.3249839
27,Yesler Terrace,47.6012658,-122.3191595
28,Pioneer Square,47.60213935,-122.33392745045508
29,Interbay,47.6407418,-122.3763394
30,Seaview,47.6712824,-122.4052826
31,Gatewood,47.5365596,-122.385326
32,Arbor Heights,47.512899,-122.3813585
33,Alki,47.5762092,-122.4098507
34,North Admiral,47.5811953,-122.3865457
35,Fairmount Park,47.579851250000004,-122.3822514061129
36,Genesee,47.5648206,-122.3679048
37,Fauntleroy,47.5223995,-122.3934168
38,North Beacon Hill,47.5775857,-122.3099603
39,Mid-Beacon Hill,47.5775857,-122.3099603
40,South Beacon Hill,47.5775857,-122.3099603
41,Holly Park,47.5416501,-122.291929
42,Brighton,47.5462102,-122.2756794
43,Dunlap,47.5314881,-122.2695679
44,Rainier Beach,47.5224207,-122.27939758194441
45,Rainier View,47.552544,-122.2908894
46,Mount Baker,47.5785522,-122.2895262
47,Columbia City,47.5579124,-122.2852162
48,Highland Park,47.528432,-122.3526261
49,North Delridge,47.5521233,-122.3638741
50,Riverview,46.613596,-120.5634288
51,High Point,47.5384514,-122.3773869
52,South Delridge,47.5521233,-122.3638741
53,Roxhill,47.519214149999996,-122.36859851725748
54,Seward Park,47.5512156,-122.2657999
55,Portage Bay,47.64748415,-122.31928638504564
56,Montlake,47.6414082,-122.3030441
57,Madison Park,47.6359301,-122.2801963
58,Broadway,47.6139717,-122.3208271
59,Stevens,47.6543494,-122.31599627115384
60,Victory Heights,47.707598,-122.3076269
61,Matthews Beach,47.69692655,-122.27272363041745
62,Meadowbrook,47.7056157,-122.28815792534128
63,Olympic Hills,47.7299,-122.2991
64,Cedar Park,47.7256535,-122.2859597
65,Haller Lake,47.7197478,-122.33375132229858
66,Pinehurst,47.6038321,-122.3300624
67,North College Park,47.6607729,-122.29149712901432
68,Maple Leaf,47.6939869,-122.322905
69,Woodinville Heights,47.6939869,-122.322905
70,West Wellington,-41.1100702,175.0900812
71,East Wellington,-41.1100702,175.0900812
72,Tourist District,-41.1100702,175.0900812
73,Reinwood Leota,-41.1100702,175.0900812
74,Town Center,47.6038321,-122.3300624
75,Lower West Ridge,47.6038321,-122.3300624
76,North Industrial,39.64259,-86.182867
77,Valley Industrial,39.64259,-86.182867
78,Wedge,47.6903842,-122.37847700414373
79,Algona,47.2731313,-122.255711
80,Auburn,47.29916465,-122.24568490540247
81,Beaux Arts,47.29916465,-122.24568490540247
82,Black Diamond,47.28392395,-121.99500898392891
83,Bothell,47.76847325,-122.178863868136
